20x20 grid, p = 0.43, f = 0.02, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
846	74771	37856	37761	1.692000	149.542000
887	75014	37994	37907	1.774000	150.028000
900	74789	37792	37897	1.800000	149.578000
894	74716	37909	37701	1.788000	149.432000
869	74702	37913	37658	1.738000	149.404000
903	74207	37414	37696	1.806000	148.414000
871	75626	38329	38168	1.742000	151.252000
927	74341	37576	37692	1.854000	148.682000
966	74101	37401	37666	1.932000	148.202000
933	74682	37829	37786	1.866000	149.364000
837	74952	37914	37875	1.674000	149.904000
898	74670	37947	37621	1.796000	149.340000
969	75121	38053	38037	1.938000	150.242000
944	74256	37645	37555	1.888000	148.512000
914	74919	37820	38013	1.828000	149.838000
919	74139	37443	37615	1.838000	148.278000
877	74921	38086	37712	1.754000	149.842000
913	73718	37386	37245	1.826000	147.436000
899	73962	37536	37325	1.798000	147.924000
872	74942	37862	37952	1.744000	149.884000
930	74463	37756	37637	1.860000	148.926000
949	74907	37900	37956	1.898000	149.814000
897	75214	38046	38065	1.794000	150.428000
932	74908	38118	37722	1.864000	149.816000
930	74044	37350	37624	1.860000	148.088000
889	74852	37814	37927	1.778000	149.704000
883	74799	38032	37650	1.766000	149.598000
871	75181	37824	38228	1.742000	150.362000
